,Body wall muscle anterior,Body wall muscle posterior,Coelomocytes,Distal tip,Glia_3,Hypodermis tail,Intestinal-rectal valve,Intestine anterior,Intestine posterior,Seam cells (grd+),Spermatheca bag distal,Spermatheca bag proximal,Spermatheca neck proximal,Spermatheca-Uterine junction,Syncitial pachytene spermatocytes,Unassigned sex-specific muscle,Unassigned uterine cells,Uterine muscle,Uterine toroid,Uterine-vulval cells,Vulval cells,pm1_pm2 (pharyngeal muscle),pm3_pm4_pm5 (pharyngeal muscle),pm6_pm7 (pharyngeal muscle),sh3_sh4 (gonadal sheath proximal),vm1 (vulval muscle),vm2 (vulval muscle)
LFQ intensity D10_6,0.029311561300039632,0.0,0.0,0.0,0.0,0.0,0.036195569270602926,0.0,0.0828907718133212,0.0,0.0,0.1604320323753846,0.0,0.021410630303283124,0.10694315364493873,0.0026140149834798505,0.06089777027161733,0.04319753037158125,0.03362224636492041,0.0,0.060250449197806775,0.0,0.077559405530084,0.05782172965134948,0.08851188765199612,0.11124490768819859,0.027096339581396085
LFQ intensity D10_7,0.004011704513446708,0.0,0.04148899047415542,0.0313169636990902,0.0,0.0,0.034925797445405714,0.0,0.0601594390241856,0.0,0.0,0.16952081891492343,0.006576930032669859,0.02749549444824935,0.05379350070281942,0.005614450987295348,0.06633154870859671,0.051072160004041835,0.05790616083349524,0.021476800974102837,0.0,0.0,0.04430836951481834,0.018644754793530446,0.11311195463425854,0.1714031848321498,0.02084097546276507
LFQ intensity D10_8,0.0023817542011915333,0.0,0.03608851889869533,0.045630070089819445,0.0,0.0,0.03947168436213069,0.0,0.05678629187306955,0.0,0.0,0.1290497248599417,0.0035069426539220674,0.03712436532313494,0.08463755530670021,0.0036699052608029034,0.06031852240216614,0.046295439995624084,0.05348595830288378,0.022147887524294772,0.038454828857132126,0.0,0.047103377612490026,0.015813282943681277,0.1115496022733929,0.149469860828361,0.017014426430565686
LFQ intensity D10_9,0.004726214275467391,0.0,0.05105023147085955,0.030214075413479438,0.0,0.0,0.0,0.0,0.06725465823309915,0.0,0.0,0.1564607207831105,0.01409289895333485,0.00651970764820192,0.09098821549448433,0.006021247306969264,0.06327226124678935,0.055566113355956195,0.05500903764613121,0.019887638395765597,0.0,0.0,0.04614433863486002,0.01649946964445861,0.12462376897024972,0.1707140183895678,0.020955384137214986
LFQ intensity D2_1,0.0074151469877605635,0.016227367315154385,0.0038101927954645063,0.02761393800958884,0.0,0.0,0.07131752195897373,0.013139113185000962,0.12522507844987893,0.051994704049120724,0.009542138885705114,0.09353148416456347,0.024572479867278004,0.009567234518796841,0.021781020198235666,0.020805410506749635,0.052090123346904,0.05065296647417148,0.03909900496239662,0.008822568239914121,0.019368926307578728,0.0,0.12454604138926356,0.0,0.0681932241971166,0.10892621441954366,0.03175809977083985
LFQ intensity D2_2,0.009312759273703479,0.020444415619432343,0.0,0.0325254109910699,0.0,0.0,0.04865087861994795,0.04164041917990431,0.11581341156751321,0.06136163333505195,0.007605261476242887,0.07323223414584591,0.020329716585071295,0.004529462504294017,0.050701413334622566,0.017808319298876493,0.0597924761875933,0.04224889798548935,0.03625848993608156,0.011816298773223578,0.03319129488971961,0.0,0.07910930388656535,0.021873000803741178,0.08276797607258923,0.09753704134353469,0.03144988418988587
LFQ intensity D2_3,0.0,0.0,0.009445223152769137,0.03521806819456173,0.0,0.0,0.06180520337556159,0.032337616808174804,0.11932694150965449,0.06932913259855464,0.0038573114297815233,0.07456070630853531,0.01800049527445272,0.02494752159250931,0.05360081905349446,0.01906196642165346,0.05426412921673331,0.05964253498718564,0.03203801635989886,0.0091139181330321,0.0030295126447027762,0.0,0.11017064407428839,0.0,0.05505621284710915,0.12590128806560605,0.02929273795174054
LFQ intensity D2_4,0.012039110183904866,0.0,0.0,0.046711304594246716,0.0,0.016115427299483828,0.05597063183335423,0.04451309881612345,0.13401196265016693,0.07044351406682575,0.0,0.09885525943913973,0.0,0.0,0.01241420443319709,0.01445269663863093,0.06065712619801678,0.051416053368874906,0.031209294715396213,0.016268863163319842,0.01357605382329054,0.0,0.10319013563005407,0.004780717455376234,0.06642808432798386,0.1198981515525674,0.027048309810046578
LFQ intensity D2_5,0.002974669446033885,0.07177461026169515,0.0,0.021284355117261636,0.0,0.003142936238657771,0.05915244957680552,0.028297007424518465,0.11217278741498019,0.04554319484544393,0.0014549023400033825,0.07875695431163518,0.020907578874545855,0.01545082586053108,0.04874445226327118,0.014022921342369184,0.045517804699348983,0.047681157122070376,0.03961682062333383,0.007940565059575262,0.026739917889346633,0.0,0.11285608184735309,0.0,0.06539275110412697,0.10701412952475034,0.023561126812342053
LFQ intensity D2_6,0.004892949892527916,0.021624538564322116,0.0026143923855658498,0.026367352825137014,0.0,0.0,0.06501163720320254,0.02904685966850579,0.11355721941714995,0.05334492586535014,0.0,0.07730079636297378,0.010854869930682704,0.05003940264941938,0.020617284252946535,0.02008760702912346,0.050901387609929,0.058606790806745176,0.037803922331752615,0.008153261829274798,0.020365102043708217,0.0,0.1050158815600577,0.005591188416378371,0.06854615031366323,0.1196587719097529,0.029997707131830628
